Time,MQ-2,MQ-3,MQ-136,MQ-137
1009,517.0,425.0,328.0,430.0
2044,517.0,425.0,328.0,430.0
3047,516.0,424.0,328.0,429.0
4049,516.0,424.0,327.0,429.0
5051,517.0,425.0,328.0,430.0
6053,517.0,425.0,328.0,430.0
7056,517.0,425.0,328.0,430.0
8058,517.0,425.0,328.0,430.0
9061,517.0,425.0,328.0,430.0
10063,517.0,425.0,328.0,430.0
11066,518.0,426.0,329.0,431.0
12068,519.0,427.0,330.0,432.0
13071,519.0,427.0,329.0,431.0
14073,518.0,427.0,330.0,431.0
15076,520.0,427.0,330.0,432.0
16078,520.0,429.0,332.0,433.0
17080,519.0,428.0,331.0,433.0
18082,519.0,428.0,331.0,432.0
19085,518.0,427.0,331.0,432.0
20087,518.0,427.0,331.0,432.0
21090,519.0,428.0,331.0,433.0
22092,518.0,427.0,331.0,432.0
23095,519.0,428.0,332.0,433.0
24097,519.0,428.0,332.0,432.0
25100,519.0,428.0,332.0,432.0
26102,521.0,430.0,334.0,434.0
27105,518.0,428.0,332.0,432.0
28107,518.0,427.0,332.0,432.0
29110,518.0,427.0,331.0,431.0
30112,518.0,427.0,331.0,431.0
31115,518.0,427.0,331.0,432.0
32117,519.0,428.0,332.0,433.0
33119,517.0,427.0,331.0,431.0
34121,517.0,427.0,331.0,432.0
35124,518.0,428.0,332.0,432.0
36126,518.0,428.0,332.0,432.0
37129,519.0,428.0,333.0,433.0
38131,524.0,432.0,335.0,437.0
39134,521.0,430.0,334.0,435.0
40136,520.0,430.0,336.0,435.0
41139,520.0,430.0,335.0,434.0
42141,518.0,429.0,334.0,433.0
43144,519.0,429.0,335.0,433.0
44146,518.0,429.0,334.0,433.0
45149,518.0,428.0,334.0,433.0
46151,517.0,428.0,334.0,432.0
47154,517.0,428.0,334.0,432.0
48156,518.0,429.0,335.0,433.0
49158,517.0,428.0,334.0,433.0
50160,517.0,428.0,334.0,432.0
51163,517.0,428.0,334.0,432.0
52165,518.0,428.0,334.0,433.0
53168,518.0,428.0,335.0,433.0
54170,517.0,428.0,334.0,432.0
55173,517.0,428.0,334.0,432.0
56175,517.0,428.0,335.0,433.0
57178,518.0,429.0,335.0,434.0
58180,518.0,428.0,335.0,433.0
59183,518.0,429.0,335.0,433.0
60185,518.0,428.0,335.0,433.0
61188,518.0,429.0,335.0,433.0
62190,518.0,428.0,335.0,433.0
63193,517.0,428.0,335.0,432.0
64195,517.0,428.0,336.0,433.0
65197,518.0,429.0,336.0,433.0
66199,517.0,428.0,335.0,432.0
67202,517.0,428.0,336.0,433.0
68204,517.0,428.0,335.0,432.0
69207,517.0,428.0,336.0,432.0
70209,517.0,428.0,336.0,432.0
71212,518.0,429.0,336.0,433.0
72214,517.0,428.0,336.0,433.0
73217,517.0,428.0,336.0,433.0
74219,517.0,428.0,336.0,432.0
75222,518.0,429.0,337.0,433.0
76224,518.0,429.0,337.0,433.0
77227,517.0,428.0,337.0,433.0
78229,517.0,429.0,337.0,433.0
79232,518.0,429.0,337.0,434.0
80234,517.0,428.0,337.0,433.0
81235,517.0,428.0,337.0,433.0
82238,517.0,428.0,337.0,433.0
83240,517.0,428.0,337.0,433.0
84243,518.0,429.0,338.0,434.0
85245,517.0,429.0,338.0,433.0
86248,518.0,429.0,338.0,434.0
87250,518.0,429.0,338.0,434.0
88253,519.0,430.0,338.0,434.0
89255,518.0,429.0,338.0,434.0
90258,518.0,430.0,338.0,434.0
91260,518.0,430.0,339.0,434.0
92263,518.0,430.0,339.0,434.0
93265,519.0,430.0,339.0,435.0
94268,518.0,430.0,339.0,434.0
95270,518.0,429.0,339.0,434.0
96273,518.0,429.0,338.0,434.0
97274,517.0,429.0,339.0,434.0
98277,517.0,429.0,339.0,434.0
99279,518.0,429.0,339.0,434.0
100282,518.0,430.0,339.0,434.0
101284,518.0,430.0,340.0,434.0
102287,518.0,430.0,339.0,434.0
103289,518.0,430.0,340.0,434.0
104292,518.0,430.0,340.0,434.0
105294,518.0,430.0,340.0,434.0
106297,518.0,430.0,340.0,434.0
107299,518.0,430.0,340.0,434.0
108302,519.0,431.0,341.0,435.0
109304,519.0,430.0,341.0,435.0
110307,518.0,430.0,341.0,435.0
111309,519.0,431.0,341.0,435.0
112312,519.0,431.0,341.0,435.0
113314,519.0,431.0,341.0,435.0
114317,519.0,431.0,341.0,435.0
115319,519.0,431.0,342.0,435.0
116322,519.0,431.0,342.0,435.0
117324,519.0,431.0,342.0,436.0
118327,519.0,431.0,342.0,436.0
119329,519.0,431.0,342.0,436.0
120332,520.0,431.0,343.0,436.0
121334,519.0,431.0,342.0,436.0
122337,519.0,431.0,343.0,436.0
123339,519.0,431.0,343.0,436.0
124342,519.0,431.0,342.0,436.0
125344,519.0,431.0,343.0,436.0
126347,519.0,431.0,343.0,436.0
127349,519.0,431.0,343.0,436.0
128352,519.0,431.0,343.0,436.0
129354,519.0,432.0,344.0,437.0
130357,519.0,431.0,343.0,436.0
131359,519.0,431.0,343.0,436.0
132362,519.0,432.0,344.0,436.0
133363,519.0,431.0,343.0,436.0
134366,518.0,431.0,343.0,436.0
135368,519.0,431.0,343.0,436.0
136371,519.0,431.0,343.0,436.0
137373,519.0,432.0,344.0,437.0
138376,519.0,431.0,344.0,436.0
139378,519.0,431.0,344.0,436.0
140381,519.0,431.0,344.0,436.0
141383,519.0,432.0,344.0,437.0
142386,519.0,432.0,344.0,437.0
143388,519.0,432.0,344.0,437.0
144391,522.0,434.0,346.0,439.0
145393,521.0,433.0,345.0,438.0
146396,520.0,432.0,345.0,438.0
147398,520.0,432.0,345.0,438.0
148401,521.0,433.0,346.0,439.0
149403,520.0,433.0,346.0,438.0
150406,520.0,433.0,346.0,438.0
151408,520.0,433.0,346.0,438.0
152411,520.0,432.0,346.0,438.0
153413,520.0,433.0,346.0,438.0
154416,520.0,432.0,346.0,438.0
155418,520.0,433.0,346.0,438.0
156421,521.0,434.0,347.0,439.0
157423,521.0,433.0,347.0,439.0
158426,522.0,434.0,348.0,440.0
159428,520.0,433.0,347.0,439.0
160431,521.0,433.0,347.0,439.0
161433,520.0,433.0,347.0,439.0
162436,520.0,433.0,347.0,439.0
163438,521.0,433.0,348.0,439.0
164441,521.0,433.0,348.0,439.0
165443,520.0,433.0,348.0,439.0
166446,520.0,433.0,348.0,439.0
167448,521.0,433.0,348.0,439.0
168451,520.0,433.0,348.0,439.0
169453,520.0,433.0,348.0,439.0
170456,520.0,433.0,348.0,439.0
171458,520.0,433.0,348.0,439.0
172461,520.0,433.0,348.0,439.0
173463,520.0,433.0,348.0,439.0
174466,520.0,433.0,348.0,439.0
175467,520.0,433.0,349.0,439.0
176470,521.0,433.0,349.0,440.0
177472,520.0,433.0,349.0,439.0
178475,521.0,433.0,349.0,440.0
179477,520.0,433.0,349.0,440.0
180480,521.0,433.0,349.0,440.0
